msa,state,city,lat,long
110,TX,Abilene,32.449175,-99.741424
120,TX,Amarillo,35.207255,-101.833894
130,TX,Arlington,32.7356,-97.107719
140,TX,Austin,30.267605,-97.742984
145,TX,Bay Area,31.168989,-100.07679
150,TX,Beaumont,30.08615,-94.101584
160,TX,Brazoria County,33.8286,-102.027684
170,TX,Brownsville,25.899585,-97.495529
180,TX,Bryan-College Station,30.62047,-96.325981
186,TX,Collin County,33.8286,-102.027684
190,TX,Corpus Christi,27.79635,-97.403564
200,TX,Dallas,32.778155,-96.795404
212,TX,Denton County,33.8286,-102.027684
220,TX,El Paso,31.759165,-106.487494
230,TX,Fort Bend,31.099321,-98.512068
240,TX,Fort Worth,32.74863,-97.329249
250,TX,Galveston,29.29533,-94.807864
260,TX,Garland,32.913865,-96.636554
270,TX,Harlingen,26.18986,-97.695549
280,TX,Houston,29.76045,-95.369784
292,TX,Irving,32.813516,-96.955506
300,TX,Killeen-Fort Hood,33.542955,-97.346534
315,TX,Laredo,27.53092,-99.502009
320,TX,Longview-Marshall,32.545959,-94.350121
330,TX,Lubbock,33.59233,-101.855869
340,TX,Lufkin,31.34239,-94.718264
350,TX,McAllen,26.20742,-98.229364
355,TX,Midland,32.000105,-102.075694
360,TX,Montgomery County,33.8286,-102.027684
370,TX,Nacogdoches,31.603587,-94.65562
390,TX,NE Tarrant County,33.8286,-102.027684
395,TX,Odessa,31.84915,-102.375189
410,TX,Palestine,31.7617,-95.632004
420,TX,Paris,33.66128,-95.563559
440,TX,Port Arthur,29.89932,-93.929379
450,TX,San Angelo,31.4615,-100.442424
460,TX,San Antonio,29.42449,-98.494624
475,TX,San Marcos,29.885099,-97.930779
480,TX,Sherman-Denison,33.760078,-96.536636
490,TX,Temple-Belton,31.0569,-97.463608
500,TX,Texarkana,33.42558,-94.048254
520,TX,Tyler,32.347475,-95.294299
530,TX,Victoria,28.805965,-97.003574
540,TX,Waco,31.571821,-97.149507
550,TX,Wichita Falls,33.90831,-98.500994
800,TX,Texas Totals,31.168989,-100.07679