msa,name
110,Abilene
120,Amarillo
130,Arlington
140,Austin
145,Bay Area
150,Beaumont
160,Brazoria County
170,Brownsville
180,Bryan-College Station
186,Collin County
190,Corpus Christi
200,Dallas
212,Denton County
220,El Paso
230,Fort Bend
240,Fort Worth
250,Galveston
260,Garland
270,Harlingen
280,Houston
292,Irving
300,Killeen-Fort Hood
315,Laredo
320,Longview-Marshall
330,Lubbock
340,Lufkin
350,McAllen
355,Midland
360,Montgomery County
370,Nacogdoches
390,NE Tarrant County
395,Odessa
410,Palestine
420,Paris
440,Port Arthur
450,San Angelo
460,San Antonio
475,San Marcos
480,Sherman-Denison
490,Temple-Belton
500,Texarkana
520,Tyler
530,Victoria
540,Waco
550,Wichita Falls
800,Texas Totals